1319784623	9.2 希尔排序（9:29）
1319784627	9.3.1 选择排序（2:59）
1319784628	9.3.2 堆排序（7:28）
1319784633	9.4.1 有序子列的归并（7:56）
1319784634	9.4.2 递归算法（10:36）
1319784635	9.4.3 非递归算法（9:50）
1319784640	10.1.1 算法概述（4:54）
1319784641	10.1.2 选主元（5:43）
1319784642	10.1.3 子集划分（9:02）
1319784643	10.1.4 算法实现（5:46）
1319784650	10.2.1 算法概述（6:21）
1319784652	10.2.2 物理排序（6:20）
1319784654	10.3.1 桶排序（3:42）
1319784655	10.3.2 基数排序（5:27）
1319784656	10.3.3 多关键字的排序（3:04）
1319784662	10.4 排序算法的比较（4:01）
1319784667	11.1.1 引子:散列的基本思路(7:34)
1319784668	11.1.2 什么是散列表(6:09)
1319784670	11.2.1 数字关键词的散列函数构造(6:03)
1319784671	11.2.2 字符串关键词的散列函数构造(7:02)
1319784674	11.3.1 开放定址法(3:54)
1319784675	11.3.2 线性探测(9:34)
1319784676	11.3.3 线性探测—字符串的例子(3:50)
1319784677	11.3.4 平方探测法(5:43)
1319784678	11.3.5 平方探测法的实现(9:55)
1319784679	11.3.6 分离链接法(3:30)
1319784686	11.4 散列表的性能分析（10:26)
1319784690	11.5 文件中单词词频统计(6:01)
1319784692	小白-PM.1题意理解与解法分析（11:19）
1319784693	小白-PM.2 程序框架搭建（04:07）
1319784694	小白-PM.3 输出狂人（03:21）
1319784695	小白-PM-4 模块的引用与裁剪（05:11）
